Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
NR1H2 And NR1H3-mediated Signaling R-HSA-9024446,Jan 46,0.408846474,0.610443584,0,0,1.939823009,1.735007886,SCD
SUMOylation Of RNA Binding Proteins R-HSA-4570464,Jan 47,0.415571522,0.619058267,0,0,1.897556753,1.66624562,PHC2
Cross-presentation Of Soluble Exogenous Antigens (Endosomes) R-HSA-1236978,Jan 48,0.422220397,0.621815494,0,0,1.85708906,1.601233878,PSMB8
DNA Damage Bypass R-HSA-73893,Jan 48,0.422220397,0.621815494,0,0,1.85708906,1.601233878,UBA7
IRE1alpha Activates Chaperones R-HSA-381070,Jan 48,0.422220397,0.621815494,0,0,1.85708906,1.601233878,HDGF
Inositol Phosphate Metabolism R-HSA-1483249,Jan 48,0.422220397,0.621815494,0,0,1.85708906,1.601233878,ITPKB
NOTCH1 Intracellular Domain Regulates Transcription R-HSA-2122947,Jan 48,0.422220397,0.621815494,0,0,1.85708906,1.601233878,MYC
RMTs Methylate Histone Arginines R-HSA-3214858,Jan 49,0.428793959,0.624964211,0,0,1.818307522,1.539704184,RPS2
Regulation Of Activated PAK-2p34 By Proteasome Mediated Degradation R-HSA-211733,Jan 49,0.428793959,0.624964211,0,0,1.818307522,1.539704184,PSMB8
EPH-ephrin Mediated Repulsion Of Cells R-HSA-3928665,Jan 49,0.428793959,0.624964211,0,0,1.818307522,1.539704184,EFNA5
Signaling By FGFR1 R-HSA-5654736,Jan 49,0.428793959,0.624964211,0,0,1.818307522,1.539704184,FLRT2
G1/S Transition R-HSA-69206,2/129,0.431499756,0.624964211,0,0,1.375048119,1.155711902,MYC;PSMB8
M Phase R-HSA-68886,5/380,0.432975378,0.624964211,0,0,1.165045045,0.975229401,ESPL1;RCC2;PMEPA1;TUBB4B;PSMB8
Chondroitin Sulfate/Dermatan Sulfate Metabolism R-HSA-1793185,Jan 50,0.435293058,0.624964211,0,0,1.781108904,1.481412002,SDC1
Regulation Of Ornithine Decarboxylase (ODC) R-HSA-350562,Jan 50,0.435293058,0.624964211,0,0,1.781108904,1.481412002,PSMB8
Fc Epsilon Receptor (FCERI) Signaling R-HSA-2454202,2/130,0.435369447,0.624964211,0,0,1.364236111,1.134444596,FOS;PSMB8
Host Interactions Of HIV Factors R-HSA-162909,2/130,0.435369447,0.624964211,0,0,1.364236111,1.134444596,PSMB8;SLC25A6
Autodegradation Of E3 Ubiquitin Ligase COP1 R-HSA-349425,Jan 51,0.441718532,0.624964211,0,0,1.74539823,1.426134183,PSMB8
Synthesis Of PIPs At Plasma Membrane R-HSA-1660499,Jan 51,0.441718532,0.624964211,0,0,1.74539823,1.426134183,PIP5K1A
GSK3B And BTRC:CUL1-mediated-degradation Of NFE2L2 R-HSA-9762114,Jan 51,0.441718532,0.624964211,0,0,1.74539823,1.426134183,PSMB8
Translocation Of SLC2A4 (GLUT4) To Plasma Membrane R-HSA-1445148,Jan 51,0.441718532,0.624964211,0,0,1.74539823,1.426134183,MYH9
IRS-related Events Triggered By IGF1R R-HSA-2428928,Jan 51,0.441718532,0.624964211,0,0,1.74539823,1.426134183,IGF2
