"","logFC","AveExpr","t","P.Value","adj.P.Val","B","logP"
"PCYOX1L",0.439733353751255,0.116416550600727,0.45144682778725,0.660986371637594,0.953247231588823,-4.78672909168366,0.179807494801208
"TARS2",-0.398889600417244,5.8673732226245,-1.56181998749067,0.148384948835768,0.838236892545516,-4.78684575572173,0.828610148713846
"ROBO4",0.62117547342899,1.03998409048746,0.820415752113476,0.430481743932085,0.896106345778516,-4.78719740125373,0.366045261580065
"LOC100336431",-0.392210704473882,5.21376256323238,-1.50156871274965,0.163107170149739,0.839121439945637,-4.78722695755637,0.787526947065055
"AKAP12",-0.428522772022945,7.65826802077654,-1.64520296881828,0.129940813886666,0.826620374647283,-4.78730535606679,0.886254417350694
"SMAD6",-0.462787221122871,0.0924229577917287,-0.442106453654439,0.667513752819752,0.954356624056078,-4.78742717760488,0.175539782079942
"FMN1",0.663566081499195,1.92407010422746,1.03098542280532,0.326054287974123,0.873090321534034,-4.7874814543328,0.486710083966705
"PRRG1",0.0355412506748191,-0.281354524792409,0.0230058684688328,0.982083416788647,0.998862153539638,-4.78759132288051,0.00785162228187971
"TANK",0.365023812183262,5.00211535847437,1.47726589825604,0.169395116816452,0.841873580991788,-4.78760100129782,0.771099113310129
"CHCHD10",-0.562456017447035,1.72920151987747,-1.0039834584323,0.338297258585644,0.875779752889704,-4.78765000933688,0.470701521532005
